2016-01-23 22:55:44,175 : INFO : categ=yelp, ftype=LIWC, index=0, rmse=0.1069176232, rho=0.2279420805, pval=0.0000000000, mse=0.0114313781, mae=0.0806032497, pre_logfit=-12.6532869430, base_logfit=-12.2687619743
2016-01-23 22:57:57,743 : INFO : categ=yelp, ftype=INQUIRER, index=0, rmse=0.1071177024, rho=0.2441446466, pval=0.0000000000, mse=0.0114742022, mae=0.0803287285, pre_logfit=-12.6537747456, base_logfit=-12.2687619743
2016-01-23 22:58:47,607 : INFO : categ=yelp, ftype=GALC, index=0, rmse=0.1098876937, rho=0.1018376597, pval=0.0000000000, mse=0.0120753052, mae=0.0820929093, pre_logfit=-12.6737410852, base_logfit=-12.2687619743
2016-01-23 22:58:48,689 : INFO : categ=yelp, ftype=ConfAll, index=0, rmse=0.1075060939, rho=0.2210449621, pval=0.0000000000, mse=0.0115575602, mae=0.0807386874, pre_logfit=-12.6568759549, base_logfit=-12.2687619743
2016-01-23 22:59:48,994 : INFO : categ=yelp, ftype=LIWC, index=1, rmse=0.1085664915, rho=0.2175244145, pval=0.0000000000, mse=0.0117866831, mae=0.0819496741, pre_logfit=-12.6137150214, base_logfit=-12.2208617700
2016-01-23 23:02:02,707 : INFO : categ=yelp, ftype=INQUIRER, index=1, rmse=0.1079966295, rho=0.2533571857, pval=0.0000000000, mse=0.0116632720, mae=0.0815118087, pre_logfit=-12.6119102614, base_logfit=-12.2208617700
2016-01-23 23:02:52,562 : INFO : categ=yelp, ftype=GALC, index=1, rmse=0.1113431666, rho=0.0799773986, pval=0.0000000000, mse=0.0123973008, mae=0.0834677583, pre_logfit=-12.6358332497, base_logfit=-12.2208617700
2016-01-23 23:02:53,639 : INFO : categ=yelp, ftype=ConfAll, index=1, rmse=0.1088575365, rho=0.2138826972, pval=0.0000000000, mse=0.0118499633, mae=0.0820014295, pre_logfit=-12.6172689661, base_logfit=-12.2208617700
2016-01-23 23:03:51,617 : INFO : categ=yelp, ftype=LIWC, index=2, rmse=0.1082282066, rho=0.2416461214, pval=0.0000000000, mse=0.0117133447, mae=0.0802795316, pre_logfit=-12.6215245810, base_logfit=-12.2364186864
2016-01-23 23:06:04,976 : INFO : categ=yelp, ftype=INQUIRER, index=2, rmse=0.1084140625, rho=0.2460761060, pval=0.0000000000, mse=0.0117536090, mae=0.0802876546, pre_logfit=-12.6234489250, base_logfit=-12.2364186864
2016-01-23 23:06:54,553 : INFO : categ=yelp, ftype=GALC, index=2, rmse=0.1114780254, rho=0.1061336310, pval=0.0000000000, mse=0.0124273501, mae=0.0821585364, pre_logfit=-12.6473839812, base_logfit=-12.2364186864
