MEDIAN and STANDARDIZE

YELP

[1] "YELP - TEXT ONLY"
[1] "Lm: "                 "0.25"                 "0.0816651496674964"   "0.000394548488213446"
[1] "Glm: "                "0.25"                 "0.0803386926829104"   "0.000385970299856765"
[1] "Lm: "                 "0.5"                  "0.081343650947747"    "0.000368122607123117"
[1] "Glm: "                "0.5"                  "0.0800306691843849"   "0.000394263627484201"
[1] "Lm: "                 "0.75"                 "0.0813827835711287"   "0.000370013653499017"
[1] "Glm: "                "0.75"                 "0.0800307556784493"   "0.000395551706252919"
[1] "Lm: "                 "1"                    "0.0814077760989737"   "0.000271984422878093"
[1] "Glm: "                "1"                    "0.0799603470087981"   "0.00024866024987613"

[1] "YELP - TOPIC ONLY"
[1] "Lm: "                 "0.25"                 "0.0810714593671654"   "0.000461500296401339"
[1] "Glm: "                "0.25"                 "0.0798930317170139"   "0.000412065536144017"
[1] "Lm: "                 "0.5"                  "0.0807654549103878"   "0.000355970863159278"
[1] "Glm: "                "0.5"                  "0.0796719573236465"   "0.000345748333602293"
[1] "Lm: "                 "0.75"                 "0.0806628138384243"   "0.000356355327908123"
[1] "Glm: "                "0.75"                 "0.0794710133257555"   "0.000384486973998566"
[1] "Lm: "                 "1"                    "0.0805328213320374"   "0.000315498334196422"
[1] "Glm: "                "1"                    "0.0794358783726572"   "0.000302538135959699"

[1] "YELP - TEXT AND TOPICS"
[1] "Lm: "               "0.25"               "0.0807736009928218" "686352.972303153"  
[1] "Glm: "                "0.25"                 "0.079502349726435"    "0.000324110839297809"
[1] "Lm: "                 "0.5"                  "0.0802388448115521"   "0.000313333712922117"
[1] "Glm: "                "0.5"                  "0.0790712351296523"   "0.000292737295254875"
[1] "Lm: "                 "0.75"                 "0.0802004753778197"   "0.000301862024739714"
[1] "Glm: "                "0.75"                 "0.07909905705624"     "0.000320440563606585"
[1] "Lm: "                 "1"                    "0.080042534733825"    "0.000297333564776785"
[1] "Glm: "                "1"                    "0.0788424692317792"   "0.000281677999430882"

TRIPADVISOR

[1] "TRIPADVISOR - HOTEL - TEXT"
[1] "Lm: "                 "0.25"                 "0.179747317452836"    "0.00112713301024132"
[1] "Glm: "                "0.25"                 "0.181711327279994"    "0.00162996245334555"
[1] "Lm: "                 "0.5"                  "0.179419847641096"    "0.000776776965752366"
[1] "Glm: "                "0.5"                  "0.181780720783504"    "0.000792001419797443"
[1] "Lm: "                 "0.75"                 "0.179584565260459"    "0.000631806442841493"
[1] "Glm: "                "0.75"                 "0.18175533475669"     "0.000587404122392845"
[1] "Lm: "                 "1"                    "0.179354824744018"    "0.000353693098833649"
[1] "Glm: "                "1"                    "0.181579593062388"    "0.000448776825953332"

[1] "TRIPADVISOR - HOTEL - TOPIC"
[1] "Lm: "                 "0.25"                 "0.177512654155802"    "0.000610394456563069"
[1] "Glm: "                "0.25"                 "0.178065662674127"    "0.00120185891603334"
[1] "Lm: "                 "0.5"                  "0.177256517077471"    "0.000737382916754147"
